date,address,floor,houseType,age,twPing,bedRoom,livingRoom,restRoom,balcony,ratioOfPublicArea,price,pricePerTwPing
2023-04-02,台北市北投區中央北路三段２４６號二樓,2,公寓,58,43.895776596210005,4,4,4,2,0.1480945489628558,15660000.0,107918.0
2023-04-10,台北市大安區復興南路一段１０７巷５弄１５之１號六樓,6,華廈,46,36.526876328250005,2,2,2,2,0.2687370600414079,33600000.0,278261.0
2023-04-06,台北市大安區光復南路２４０巷５３號二樓,2,華廈,44,8.82090032076,3,2,2,2,0.212962962962963,6500000.0,222908.0
2023-04-14,台北市信義區松山路４２１號五樓之８,5,電梯大樓,30,11.36492541327,0,0,0,2,0.5001330849081714,8300000.0,220921.0
2023-04-06,台北市中山區長安東路一段５３巷１６號五樓,5,華廈,36,13.51267549137,2,2,1,1,0.4049697783747481,8380000.0,187598.0
2023-04-07,台北市中山區民生東路一段７０巷１１號五樓之１,5,華廈,16,15.88427557761,1,1,1,1,0.4172538564083031,12650000.0,240906.0
2023-04-06,台北市中正區羅斯福路二段１３２號十五樓之３,15,電梯大樓,17,9.88267535937,2,1,1,1,0.3728191000918274,10550000.0,322926.0
2023-04-06,台北市中正區羅斯福路二段１３２號十五樓之２,15,電梯大樓,17,13.5520004928,2,1,1,2,0.4238839285714285,14450000.0,322545.0
2023-04-06,台北市中正區中華路二段４７１號,1,華廈,35,37.40412636015,1,1,1,0,0.0865345733926405,10000000.0,80867.0
2023-04-07,台北市文山區景後街９５號三樓之３０,3,電梯大樓,29,4.38927515961,0,0,0,0,0.7119228118538938,1580000.0,108890.0
2023-04-07,台北市松山區民生東路五段１５３號六樓之９,6,電梯大樓,40,23.40140085096,0,0,0,2,0.2326783867631851,16500000.0,213289.0
2023-04-07,台北市中山區新生北路二段３８號十四樓之６,14,電梯大樓,27,18.66122567859,2,2,1,2,0.3699140865618414,15580000.0,252553.0
2023-04-06,台北市松山區南京東路五段２２２號八樓,8,電梯大樓,30,68.19862747995,3,0,0,2,0.1406520292747837,52700000.0,233755.0
2023-04-12,台北市北投區大度路三段２９６巷４６號四樓,4,公寓,45,15.79957557453,3,1,1,2,0.0809879379666857,4000000.0,76584.0
2023-04-06,台北市萬華區萬大路１８７巷３弄３３號二樓,2,公寓,48,13.87870050468,3,2,1,0,0.0,7600000.0,165650.0
2023-04-03,台北市大同區承德路三段９０巷２０號,1,公寓,48,54.525626982750005,3,2,2,0,0.0,34600000.0,191956.0
2023-04-06,台北市文山區木柵路三段４８巷１弄６號,1,華廈,27,42.45285154374,1,1,1,0,0.2347869459883141,27150000.0,193459.0
2023-04-07,台北市萬華區萬大路１８７巷３５號四樓,4,公寓,48,11.12292540447,1,1,1,0,0.0,5820000.0,158281.0
2023-04-18,台北市內湖區陽光街２９５號三樓,3,公寓,39,5.43290019756,3,2,2,1,0.1965478841870824,3000000.0,167038.0
2023-04-10,台北市中山區新生北路一段４２號十四樓,14,電梯大樓,35,31.65360115104,3,2,2,2,0.1374235474006116,26000000.0,248471.0
2023-04-12,台北市南港區研究院路二段１２巷５７弄８４號,1,公寓,38,36.14572631439,3,2,2,0,0.0924763578542136,22480000.0,188133.0
2023-04-05,台北市信義區基隆路二段１３１之１號六樓,6,電梯大樓,37,25.791150937860003,2,2,1,2,0.2349284541402768,21600000.0,253343.0
2023-04-10,台北市士林區德行東路３３號五樓,5,華廈,2,13.75165050006,0,0,0,1,0.4705235371755389,13062500.0,287341.0
2023-04-17,台北市北投區石牌路一段３９巷１３４號三樓,3,公寓,49,17.52685063734,3,2,1,0,0.0,4750000.0,81981.0
2023-04-06,台北市中正區羅斯福路二段１４０號十一樓之２,11,電梯大樓,36,49.89737681445,0,0,1,2,0.2951197332525007,36000000.0,218248.0
2023-04-19,台北市北投區致遠三路１４７巷４弄２６號,2,透天,50,27.85420101288,3,1,1,0,0.0,13000000.0,141182.0
2023-04-13,台北市北投區中和街５０２巷３弄２０號,2,透天,49,27.22500099,5,3,2,0,0.0,16000000.0,177778.0
2023-04-23,台北市大安區光復南路６２６號五樓之６,5,電梯大樓,43,47.53182672843,5,1,2,2,0.3337363966142684,37000000.0,235474.0
2023-04-21,台北市士林區延平北路五段４７號,2,透天,63,0.6745750245300001,4,2,1,0,0.0,447067.0,200478.0
2023-04-01,台北市中山區新生北路二段４１巷１２號二樓,2,華廈,46,41.33057650293,6,0,6,2,0.1738271243504354,26000000.0,190295.0
2023-04-02,台北市大安區羅斯福路二段９５號二十四樓之３,24,電梯大樓,33,44.83655163042,1,2,1,2,0.2585346107138037,39900000.0,269194.0
2023-04-11,台北市士林區社中街３９１號四樓,4,公寓,48,21.27482577363,2,2,1,0,0.0,9080000.0,129106.0
2023-04-02,台北市南港區福德街３７３巷３號一樓,1,電梯大樓,25,52.858851922140005,4,2,2,2,0.448609362481401,29300000.0,167678.0
2023-04-03,台北市士林區社子街２５巷１弄７號,1,公寓,51,18.79735068354,0,0,0,0,0.0,9400000.0,151271.0
2023-04-16,台北市中山區新生北路二段４０號八樓之７,8,電梯大樓,27,20.21305073502,2,1,1,2,0.3825202035318766,17000000.0,254415.0
2023-04-12,台北市中山區德惠街５２號十樓之１０,10,電梯大樓,41,8.96307532593,1,1,1,1,0.2622342220722241,6400000.0,215997.0
2023-04-04,台北市中山區龍江路２８６巷１３號四樓,4,公寓,54,37.39202635971,8,0,8,0,2.8741312829063186e-17,25100000.0,203058.0
2023-04-17,台北市大同區延平北路二段２０９號三樓,3,公寓,39,27.781601010240003,3,2,1,2,0.064677700348432,13500000.0,146995.0
2023-03-14,台北市文山區木新路三段３６５巷９號四樓,4,公寓,38,23.05352583831,2,2,1,2,0.1653326335126623,12000000.0,157460.0
2023-03-12,台北市文山區景興路４２巷４弄２號四樓,4,公寓,49,31.86535115874,3,2,2,0,0.0,17400000.0,165179.0
2023-03-12,台北市中正區惠安街７號四樓之４,4,華廈,43,13.231350481140002,2,1,1,1,0.0818472793781436,8660000.0,197988.0
2023-03-14,台北市文山區辛亥路七段７６巷２４號五樓,5,公寓,45,29.26385106414,3,2,1,2,0.1307628695472399,11300000.0,116808.0
2023-03-15,台北市文山區景興路８號二樓,2,公寓,46,27.01627598241,1,1,1,2,0.0539693203448662,12870000.0,144105.0
2023-03-10,台北市中正區臨沂街５７巷３２弄９號四樓,4,公寓,51,21.9312507975,3,2,1,0,0.0,20680000.0,285241.0
2023-03-12,台北市大同區西寧北路７１號六樓,6,華廈,41,49.67957680653001,4,2,2,2,0.2251720148572125,24280000.0,147841.0
2023-03-14,台北市萬華區長沙街二段８９號十八樓之１,18,電梯大樓,26,9.377500341,1,1,1,1,0.4183870967741935,5700000.0,183871.0
2023-03-19,台北市萬華區貴陽街二段１５０號四樓,4,公寓,53,21.41397577869,2,2,1,0,0.0,10380000.0,146631.0
2023-03-25,台北市大同區民權西路２６８號十一樓之６,11,電梯大樓,1,24.7142508987,2,2,1,2,0.4895960832313342,24000000.0,293758.0
2023-03-28,台北市萬華區中華路一段１４４號三樓之２６,3,華廈,44,13.63670049588,0,0,0,0,0.6226708074534161,5150000.0,114241.0
2023-03-11,台北市中山區民生東路一段４２號七樓,7,電梯大樓,45,20.13137573205,0,0,0,0,0.2667167543200601,12800000.0,192337.0
2023-03-19,台北市中山區新生北路三段６４號三樓,3,華廈,44,9.53177534661,1,0,1,1,0.2726118692478578,5250000.0,166614.0
2023-03-10,台北市中山區新生北路一段１０８之３號五樓,5,電梯大樓,45,9.84940035816,1,0,1,2,0.3516584766584767,6000000.0,184275.0
2023-03-01,台北市中山區長春路６５號九樓,9,電梯大樓,45,20.68797575229,3,1,1,0,0.152361456353268,11500000.0,168153.0
2023-03-07,台北市內湖區文德路２７５號三樓之３,3,華廈,17,15.7602505731,2,1,1,1,0.2998080614203455,13500000.0,259117.0
2023-03-02,台北市松山區南京東路五段６６巷３弄２４號五樓,5,華廈,33,46.00722667299,4,2,3,2,0.2432770070353078,33280000.0,218818.0
2023-03-12,台北市南港區八德路四段８９５號十一樓之３,11,電梯大樓,28,13.50360049104,1,1,1,2,0.4164426523297491,9000000.0,201613.0
2023-03-21,台北市松山區八德路三段１９９巷２１號六樓之２,6,華廈,39,10.54515038346,1,1,1,2,0.2739529546758463,10070000.0,288870.0
2023-03-07,台北市信義區永吉路１８７巷１號四樓,4,電梯大樓,42,33.883026232110005,3,2,2,2,0.1450763324703151,20400000.0,182127.0
2023-03-10,台北市松山區八德路四段６５０號四樓之１５,4,電梯大樓,17,10.13677536861,1,1,1,1,0.425843031930767,11360000.0,339003.0
2023-03-02,台北市信義區紫雲街２７之３號二樓,2,公寓,43,28.48642603587,3,2,1,2,0.1557820962089837,6000000.0,63715.0
2023-03-07,台北市松山區塔悠路２１８號四樓,4,公寓,48,25.99987594545,3,2,2,0,0.0,16380000.0,190576.0
2023-03-20,台北市松山區撫遠街３８９巷２７號,1,公寓,49,25.21035091674,3,2,1,0,0.0,17000000.0,203984.0
2023-03-16,台北市士林區中山北路六段２９０巷１７之２號三樓,3,公寓,38,36.33327632121,3,2,2,2,0.1261343768212472,21950000.0,182749.0
2023-03-15,台北市北投區行義路１８６巷４７號四樓,4,華廈,39,20.808975756690003,1,1,1,2,0.3134176479139411,10650000.0,154819.0
2023-03-20,台北市北投區大同街２２８巷８號二樓,2,公寓,46,18.7247506809,2,2,1,2,0.1617124394184167,6620000.0,106947.0
2023-03-04,台北市大安區羅斯福路三段２８１號八樓之２,8,電梯大樓,43,30.488976108690004,3,2,2,1,0.1893044944935014,29300000.0,290703.0
2023-03-10,台北市大安區安和路二段６０號七樓,7,電梯大樓,44,80.48012792655001,5,2,2,2,0.2273256906596505,66180000.0,248750.0
2023-03-26,台北市大安區和平東路一段１７７號八樓之２,8,電梯大樓,45,24.13647587769,2,1,1,2,0.3019175335255043,22900000.0,287003.0
2023-03-23,台北市大安區和平東路二段３１１巷２８號三樓,3,公寓,38,24.89272590519,3,2,1,2,0.1094908251306356,17500000.0,212663.0
2023-03-20,台北市文山區羅斯福路五段４７號六樓,6,華廈,45,34.72095126258,3,2,2,2,0.2255619445896497,19090000.0,166318.0
2023-03-29,台北市文山區景興路２７４號四樓之５,4,電梯大樓,28,42.543601547040005,2,2,2,2,0.253910693970421,21000000.0,149328.0
2023-03-18,台北市萬華區國興路２１號十二樓之３,12,電梯大樓,36,26.23582595403,2,1,1,2,0.3261847111726046,16000000.0,184481.0
2023-03-12,台北市內湖區文德路２２巷５９弄１８號七樓,7,華廈,39,19.51730070972,3,2,2,2,0.3615933044017358,9280000.0,143831.0
2023-03-08,台北市中山區民生東路三段８８巷１號十一樓,11,電梯大樓,37,34.41240125136,2,2,2,2,0.2314521800281294,27600000.0,242616.0
2023-03-12,台北市萬華區桂林路２４６巷４０號二樓之１,2,公寓,46,23.72507586273,3,2,1,2,0.1758255769475966,10500000.0,133877.0
2023-03-14,台北市信義區忠孝東路五段４２３巷６弄３號二樓,2,公寓,34,34.20972624399,3,2,2,2,0.3124944734282429,15000000.0,132638.0
2023-03-15,台北市北投區致遠三路１１４巷１２號,2,透天,50,18.755000682,4,2,3,0,0.0,6014786.0,97013.0
2023-03-30,台北市大安區和平東路三段１０６號七樓之５,7,電梯大樓,19,11.597850421740002,1,1,1,0,0.3474178403755869,8300000.0,216484.0
2023-03-28,台北市北投區泉源路６２號五樓,5,公寓,43,28.55902603851,3,2,2,2,0.1319775447516152,7000000.0,74145.0
2023-03-22,台北市萬華區長順街８９巷５號,1,公寓,53,25.0470009108,1,1,1,0,0.0,15000000.0,181159.0
2023-03-13,台北市大安區信義路四段２６５巷５４號六樓,6,華廈,39,64.56257734773,4,2,2,2,0.2075621983788596,51000000.0,238954.0
2023-03-13,台北市士林區華齡街４０巷７號,1,公寓,46,31.18170113388,3,2,1,0,-6.893119283664146e-17,16100000.0,156189.0
2023-03-16,台北市北投區育仁路１２巷１０號,1,公寓,71,23.595000858,4,2,2,0,0.0,27000000.0,346154.0
2023-03-15,台北市北投區大屯路光華１巷１６號四樓,4,公寓,35,38.67462640635,3,2,1,2,0.1366445052796246,12000000.0,93860.0
2023-03-16,台北市士林區社子街３８號二樓,2,華廈,29,49.41640179696,3,2,1,2,0.1632590597453476,22800000.0,139569.0
2023-03-21,台北市信義區基隆路二段７９巷３３弄４之３號,4,公寓,55,20.78477575581,3,2,2,0,0.0,13580000.0,197642.0
2023-03-25,台北市信義區虎林街２１２巷１５號二樓,2,公寓,54,28.86152604951,3,2,1,2,0.1326904936589455,21500000.0,225343.0
2023-03-19,台北市松山區八德路三段２１８號三樓之１,3,電梯大樓,17,14.97072554439,2,2,1,0,0.3342089310971913,16500000.0,333401.0
2023-03-22,台北市信義區信義路五段１２７號十三樓之８,13,電梯大樓,17,15.52430056452,1,1,1,1,0.4025720966484801,16200000.0,315666.0
2023-03-17,台北市信義區虎林街７４巷２０號四樓,4,華廈,41,21.6590007876,2,1,1,2,0.3927374301675977,14500000.0,202514.0
2023-03-12,台北市信義區吳興街２８４巷２７弄１號三樓,3,公寓,37,30.597876112650003,3,2,1,2,0.1374196737518537,15680000.0,155017.0
2023-03-19,台北市信義區光復南路４４７之２號七樓之３,7,電梯大樓,42,11.71582542603,1,1,1,1,0.3498579912212756,10700000.0,276272.0
2023-03-24,台北市內湖區康寧路三段１８９巷８３弄６號六樓,6,華廈,29,37.01995134618,3,2,2,2,0.3068311815656152,20800000.0,169962.0
2023-03-22,台北市中山區長春路４０號七樓之９,7,電梯大樓,39,15.19155055242,0,0,0,2,0.3002787733970529,8350000.0,166268.0
2023-03-28,台北市中山區新生北路三段８４巷１２號二樓,2,公寓,38,33.510951218580004,3,2,2,2,0.2382198952879581,17500000.0,157971.0
2023-03-04,台北市中山區龍江路３０９號六樓,6,華廈,41,37.41017636037,3,2,2,2,0.3452737122988599,31300000.0,253093.0
2023-03-18,台北市內湖區內湖路一段２８５巷６５弄９號四樓,4,公寓,40,30.107826094830003,3,2,2,2,0.2395257711242841,17880000.0,179644.0
2023-03-17,台北市內湖區星雲街１６８巷４３號八樓之７,8,電梯大樓,26,17.03982561963,3,1,1,2,0.376353630392331,13000000.0,230783.0
2023-03-10,台北市內湖區民權東路六段８８號四樓,4,公寓,43,32.3070011748,3,2,2,2,0.1343632958801497,17000000.0,159176.0
2023-03-13,台北市大同區承德路三段２９７之１號五樓,5,華廈,16,10.12467536817,1,1,1,1,0.3875112040633403,7900000.0,236032.0
2023-03-25,台北市萬華區德昌街１５６號三樓,3,公寓,52,19.89845072358,2,1,1,0,0.0,2750000.0,41806.0
2023-03-07,台北市萬華區康定路２０６號六樓之１５,6,電梯大樓,45,7.420325269830001,1,1,1,0,0.2445984508764777,3000000.0,122299.0
2023-03-20,台北市萬華區成都路１３３巷３弄３號三、四樓,3,公寓,48,27.87840101376,4,2,2,0,0.0,12500000.0,135634.0
2023-03-12,台北市萬華區青年路１６８巷２弄６４號四樓,4,公寓,48,11.58877542141,2,1,1,0,0.1513965022187418,4900000.0,127904.0
2023-03-08,台北市文山區興隆路二段９６巷１００之２號地下一層,-1,公寓,40,22.2640008096,2,2,1,0,0.0,6500000.0,88315.0
2023-03-23,台北市文山區景後街９５號地下樓之４２,-1,電梯大樓,29,89.76687826425001,0,0,0,2,0.7104633529907329,22400000.0,75484.0
2023-03-23,台北市文山區景後街９５號三樓之３９,3,電梯大樓,29,4.8974751780900005,0,0,0,1,0.7319332921556516,1600000.0,98826.0
2023-03-12,台北市文山區羅斯福路五段５３巷１７號三樓,3,公寓,47,22.92042583347,3,2,1,2,0.1014913554177114,12460000.0,164445.0
2023-03-25,台北市中正區南昌路一段７之１號三樓之３,3,電梯大樓,17,12.2512504455,1,1,1,2,0.4938271604938271,13000000.0,320988.0
2023-03-18,台北市文山區興隆路一段１８１巷４號四樓,4,公寓,51,27.53052600111,3,2,1,2,0.1240523019448412,13600000.0,149434.0
2023-03-12,台北市文山區景福街５８號十四樓,14,電梯大樓,24,43.72637659005,3,2,2,2,0.4380491179522656,27500000.0,190246.0
2023-03-23,台北市文山區萬慶街４４號四樓,4,公寓,43,28.89177605061,3,2,2,2,0.0460684745052874,15300000.0,160193.0
2023-03-15,台北市大同區南京西路３４４巷３５號九樓之５,9,華廈,30,9.16877533341,0,0,0,0,0.2652589904322006,6100000.0,201254.0
2023-03-13,台北市萬華區中華路二段３３６號五樓之９,5,公寓,55,10.5270003828,2,2,2,0,0.0,6360000.0,182759.0
2023-03-12,台北市萬華區南寧路３５號五樓之１,5,華廈,42,22.77522582819,2,1,1,2,0.3315181298977287,12030000.0,159782.0
2023-03-12,台北市中山區南京東路二段１０８號十四樓之２０,14,電梯大樓,13,13.72140049896,1,1,1,1,0.4047619047619047,14880000.0,328042.0
2023-03-19,台北市內湖區康寧路三段５６巷５３號二樓,2,公寓,43,37.05927634761,3,2,2,2,0.0946045220798302,19500000.0,159171.0
2023-03-15,台北市內湖區新明路２０５號三樓,3,公寓,51,25.23757591773,2,2,1,0,0.0,12000000.0,143833.0
