date,address,floor,houseType,age,twPing,bedRoom,livingRoom,restRoom,balcony,ratioOfPublicArea,price,pricePerTwPing
2018-10-24,台北市文山區萬壽路６１巷１３號九樓,9,電梯大樓,28,68.37407748633001,3,2,2,2,0.1971862142193514,28000000.0,123877.0
2018-09-30,台北市萬華區長沙街二段103之1號5樓,5,公寓,46,27.128200986480003,3,2,1,2,0.0902096342551293,10000000.0,111508.0
2018-09-30,台北市萬華區昆明街46號6樓之10,6,電梯大樓,36,14.982825544830002,1,1,1,0,0.241671714112659,7770000.0,156875.0
2018-10-14,台北市中正區仁愛路二段9巷17號3樓之6,3,電梯大樓,15,12.93792547047,1,1,1,0,0.4456394669160626,10800000.0,252513.0
2018-10-07,台北市大同區延平北路二段272巷1號5樓,5,華廈,37,21.67110078804,2,2,2,2,0.1793690675600223,11610000.0,162060.0
2018-10-13,台北市萬華區莒光路１９７巷３號五樓,5,公寓,36,30.966926126070003,2,2,1,2,0.1564911595193904,11700000.0,114291.0
2018-10-04,台北市中正區中華路一段９５巷７號六樓之２,6,電梯大樓,7,70.66702756971,3,2,3,2,0.376096913659518,68280000.0,292282.0
2018-10-03,台北市大同區敦煌路５０號三樓,3,公寓,50,24.68097589749,3,2,1,0,0.0,10600000.0,129918.0
2018-10-03,台北市中正區中華路一段７號八樓之8、7號,8,電梯大樓,8,39.34012643055001,3,2,2,2,0.4321414840445983,29000000.0,222991.0
2018-08-21,台北市萬華區武昌街二段124之2號4樓,4,辦公,49,240.13055873202003,30,1,31,0,0.0,152000000.0,191479.0
2018-10-24,台北市中山區中山北路二段９３巷８號十二樓之９,12,電梯大樓,18,12.895575468930002,1,1,1,0,0.3856439127375088,11000000.0,258034.0
2018-10-24,台北市內湖區內湖路一段３２３巷４弄１０號三樓,3,公寓,45,28.2232510263,3,2,1,2,0.1420150053590568,12700000.0,136120.0
2018-10-11,台北市內湖區安康路４３４巷１９弄７之１號,1,公寓,43,28.5560010384,3,2,3,0,3.7634678800852756e-17,13100000.0,138771.0
