date,address,floor,houseType,age,twPing,bedRoom,livingRoom,restRoom,balcony,ratioOfPublicArea,price,pricePerTwPing
2023-03-02,台北市信義區忠孝東路五段５０１號,1,公寓,52,4.4770001628000005,0,0,0,0,0.0,3000000.0,202703.0
2023-03-02,台北市信義區忠孝東路五段５０１號,1,公寓,52,4.4770001628000005,0,0,0,0,0.0,3000000.0,202703.0
2023-03-01,台北市中山區長春路８８號三樓之１２,3,電梯大樓,43,10.85672539479,1,1,1,1,0.305656171635553,6500000.0,181109.0
2023-02-01,台北市中山區市民大道三段１６９號十三樓之３,13,電梯大樓,15,20.81502575691,2,1,1,1,0.6163348350530446,13200000.0,191833.0
2023-02-01,台北市中山區林森北路１００號四樓之５,4,電梯大樓,41,15.5787505665,0,0,0,0,0.2050485436893204,7800000.0,151456.0
2023-02-04,台北市士林區大西路７４巷２號,3,公寓,51,17.293925628870003,2,2,1,0,0.0,8520000.0,149029.0
2023-02-01,台北市信義區吳興街２８４巷２０號四樓,4,公寓,49,28.62557604093,3,2,2,0,0.0,17500000.0,184931.0
2023-02-03,台北市南港區東明街５０號二樓,2,公寓,39,4.07770014828,4,2,2,1,0.2188427299703264,1300000.0,96439.0
2023-02-03,台北市士林區延平北路八段２巷５５弄２０號二樓,2,公寓,61,21.168950769780004,2,1,1,0,0.0,7800000.0,111460.0
2023-02-06,台北市南港區南港路三段８０巷２３號三樓,3,公寓,46,25.97265094446,3,1,1,2,0.0839739110179361,6000000.0,69881.0
2023-02-07,台北市萬華區東園街２８巷５０號二樓之２４,2,華廈,31,11.63415042306,0,1,1,1,0.5460218408736349,4450000.0,115705.0
2023-02-07,台北市內湖區港墘路８２巷１１號五樓,5,公寓,39,3.65117513277,3,1,1,1,0.0878210439105219,1520000.0,125932.0
2023-02-02,台北市松山區南京東路五段２３９號五樓之１３,5,電梯大樓,14,15.62412556815,1,1,1,1,0.4112294288480154,14100000.0,272991.0
2023-02-04,台北市士林區中山北路七段９號,1,華廈,35,31.620326149830003,1,1,1,0,0.1900889696737779,44000000.0,420932.0
2023-02-04,台北市士林區中山北路七段９號二樓,2,華廈,35,49.13507678673,2,1,2,2,0.1208520593486424,31000000.0,190851.0
2023-02-08,台北市北投區磺港路８號九樓,9,華廈,34,35.66777629701,3,1,2,2,0.1407005343058265,18250000.0,154779.0
2023-02-10,台北市北投區北投路二段７號四樓,4,公寓,42,10.14887536905,3,2,1,2,0.1791356184798807,6000000.0,178838.0
2023-02-02,台北市大安區羅斯福路二段４１號八樓之２,8,電梯大樓,42,27.51842600067,3,2,2,2,0.2251291634604815,24000000.0,263823.0
2023-02-08,台北市信義區信義路五段８巷１３號八樓,8,電梯大樓,25,16.03552558311,1,1,1,2,0.4263346538388983,18500000.0,348991.0
2023-02-09,台北市內湖區金龍路１１２巷４０號三樓,3,公寓,42,20.86947575889,2,2,1,2,0.1497318451949557,10360000.0,150167.0
2023-02-02,台北市內湖區星雲街１６８巷４３號七樓之２,7,電梯大樓,26,18.20747566209,2,1,1,2,0.3807941518524672,14000000.0,232597.0
2023-02-04,台北市北投區文化三路７１號五樓,5,華廈,38,35.486276290410004,3,2,2,2,0.3745631233483931,16000000.0,136391.0
2023-02-03,台北市中山區建國北路三段８０巷１號八樓,8,電梯大樓,35,41.11882649523,3,2,2,2,0.1196203928492606,25800000.0,189804.0
2023-02-01,台北市南港區成福路７９巷２弄１２號三樓,3,公寓,43,27.00720098208,3,2,1,2,0.1293682795698924,8700000.0,97446.0
